Time(s),Voltage I/O-1(V)
0.648,0.022
0.65,0.022
0.652,0.022
0.654,0.026
0.656,0.023
0.658,0.024
0.66,0.023
0.662,0.02
0.664,0.02
0.666,0.018
0.668,0.017
0.67,0.016
0.672,0.013
0.674,0.015
0.676,0.012
0.678,0.011
0.68,0.011
0.682,0.009
0.684,0.01
0.686,0.007
0.688,0.004
0.69,0.005
0.692,0.001
0.694,0
0.696,0.002
0.698,-0.002
0.7,-0.001
0.702,-0.004
0.704,-0.002
0.706,-0.002
0.708,-0.005
0.71,-0.002
0.712,-0.005
0.714,-0.006
0.716,-0.006
0.718,-0.01
0.72,-0.01
0.722,-0.009
0.724,-0.01
0.726,-0.01
0.728,-0.007
0.73,-0.01
0.732,-0.011
0.734,-0.013
0.736,-0.015
0.738,-0.015
0.74,-0.016
0.742,-0.016
0.744,-0.015
0.746,-0.016
0.748,-0.016
0.75,-0.02
0.752,-0.018
0.754,-0.02
0.756,-0.02
0.758,-0.02
0.76,-0.02
0.762,-0.017
0.764,-0.016
0.766,-0.013
0.768,-0.013
0.77,-0.01
0.772,-0.009
0.774,-0.007
0.776,-0.005
0.778,-0.002
0.78,0.001
0.782,0.004
0.784,0.01
0.786,0.013
0.788,0.017
0.79,0.024
0.792,0.029
0.794,0.034
0.796,0.042
0.798,0.046
0.8,0.052
0.802,0.061
0.804,0.068
0.806,0.077
0.808,0.084
0.81,0.095
0.812,0.105
0.814,0.115
0.816,0.126
0.818,0.137
0.82,0.148
0.822,0.164
0.824,0.178
0.826,0.19
0.828,0.205
0.83,0.218
0.832,0.237
0.834,0.253
0.836,0.266
0.838,0.276
0.84,0.282
0.842,0.278
0.844,0.27
0.846,0.25
0.848,0.231
0.85,0.197
0.852,-0.127
0.854,-0.117
0.856,-0.092
0.858,-0.106
0.86,-0.125
0.862,-0.128
0.864,-0.133
0.866,-0.14
0.868,-0.137
0.87,-0.137
0.872,-0.125
0.874,-0.115
0.876,-0.107
0.878,-0.107
0.88,-0.103
0.882,-0.094
0.884,-0.087
0.886,-0.079
0.888,-0.074
0.89,-0.067
0.892,-0.061
0.894,-0.056
0.896,-0.049
0.898,-0.042
0.9,-0.037
0.902,-0.031
0.904,-0.027
0.906,-0.022
0.908,-0.02
0.91,-0.015
0.912,-0.007
0.914,-0.002
0.916,0.002
0.918,0.007
0.92,0.01
0.922,0.015
0.924,0.016
0.926,0.021
0.928,0.022
0.93,0.027
0.932,0.033
0.934,0.035
0.936,0.04
0.938,0.045
0.94,0.048
0.942,0.051
0.944,0.059
0.946,0.061
0.948,0.067
0.95,0.07
0.952,0.073
0.954,0.078
0.956,0.081
0.958,0.084
0.96,0.085
0.962,0.089
0.964,0.088
0.966,0.085
0.968,0.083
0.97,0.077
0.972,0.067
0.974,0.057
0.976,0.046
0.978,0.034
0.98,0.027
0.982,0.015
0.984,0.002
0.986,-0.001
0.988,-0.009
0.99,-0.01
0.992,-0.012
0.994,-0.015
0.996,-0.018
0.998,-0.021
1,-0.024
1.002,-0.024
1.004,-0.027
1.006,-0.026
1.008,-0.032
1.01,-0.032
1.012,-0.034
1.014,-0.035
1.016,-0.035
1.018,-0.035
1.02,-0.037
1.022,-0.032
1.024,-0.033
1.026,-0.032
1.028,-0.029
1.03,-0.028
1.032,-0.024
1.034,-0.022
1.036,-0.02
1.038,-0.017
1.04,-0.015
1.042,-0.01
1.044,-0.007
1.046,-0.005
1.048,-0.001
1.05,0.004
1.052,0.004
1.054,0.006
1.056,0.006
1.058,0.006
1.06,0.009
1.062,0.01
1.064,0.011
1.066,0.011
1.068,0.011
1.07,0.012
1.072,0.012
1.074,0.015
1.076,0.013
1.078,0.011
1.08,0.013
1.082,0.011
1.084,0.007
1.086,0.007
1.088,0.002
1.09,0.006
1.092,0.006
1.094,0.005
1.096,0.002
1.098,-0.001
1.1,-0.001
1.102,0
1.104,-0.001
1.106,0.001
1.108,0.001
1.11,0.002
1.112,0.002
1.114,0.002
1.116,0
1.118,0
1.12,0
1.122,0.001
1.124,0.001
1.126,0.001
1.128,0.001
1.13,0
1.132,0
1.134,0.002
1.136,-0.001
1.138,0
1.14,0
1.142,0.001
1.144,0
1.146,0
1.148,0
1.15,0.001
1.152,0
1.154,0.001
1.156,0.001
1.158,0
1.16,0.001
1.162,0
1.164,0.002
1.166,-0.001
1.168,-0.002
1.17,0
1.172,0
1.174,0.001
1.176,0.002
1.178,0.001
1.18,0.001
1.182,0.001
1.184,0
1.186,0.001
1.188,-0.001
1.19,0
1.192,0
1.194,0
1.196,0
1.198,0
1.2,0
1.202,0.001
1.204,0
1.206,0.001
1.208,0
1.21,0
1.212,0
1.214,0
1.216,0
1.218,0.002
1.22,0.001
1.222,0.001
1.224,0
1.226,0
1.228,0.001
1.23,0
1.232,0.001
1.234,0.001
1.236,0
1.238,0
1.24,0.002
1.242,0.002
1.244,0.002
1.246,0.001
1.248,0.001
1.25,0.001
1.252,0
1.254,0
1.256,-0.001
1.258,0
1.26,0
1.262,0.001
1.264,0.004
1.266,0.001
1.268,0.001
1.27,0
1.272,0
1.274,-0.001
1.276,0
1.278,-0.001
1.28,0.001
1.282,0
1.284,0.001
1.286,0
1.288,0
1.29,0
1.292,0
1.294,-0.001
1.296,0.001
1.298,0
1.3,0
1.302,0.002
1.304,0
1.306,0.001
1.308,0.001
1.31,0
1.312,0.001
1.314,0.001
1.316,0.002
1.318,0.001
1.32,-0.001
1.322,0
1.324,0
1.326,0.001
1.328,0.002
1.33,0.001
1.332,0.001
1.334,0.002
1.336,0
1.338,0
1.34,0.001
1.342,0
1.344,0.001
1.346,0.001
1.348,0.001
1.35,0.001
1.352,0
1.354,0.001
1.356,-0.001
1.358,0
1.36,0.002
1.362,0
1.364,0.001
1.366,0.001
1.368,0
1.37,0.002
1.372,0.001
1.374,0.001
1.376,0.001
1.378,0
1.38,0.002
1.382,0
1.384,0
1.386,0
1.388,0.001
1.39,0
1.392,0.002
1.394,0
1.396,0.002
1.398,0
1.4,0.001
1.402,0
1.404,0
1.406,0.002
1.408,0.002
1.41,0.001
1.412,0.002
1.414,0.001
1.416,0
1.418,0
1.42,0
1.422,-0.001
1.424,0.001
1.426,0.001
1.428,0.002
1.43,0.001
1.432,0
1.434,-0.001
1.436,-0.001
1.438,0.002
1.44,0
1.442,0.001
1.444,0.001
1.446,-0.002
1.448,0.001
1.45,0.001
1.452,0
1.454,0.001
1.456,0
1.458,0.001
1.46,0.002
1.462,-0.001
1.464,0
1.466,0.001
1.468,0.001
1.47,0.001
1.472,0.001
1.474,0.001
1.476,0.002
1.478,0
1.48,0.001
1.482,0.001
1.484,0.001
1.486,0
1.488,0
1.49,0.002
1.492,0
1.494,-0.001
1.496,0.001
1.498,0
1.5,0
1.502,0.001
1.504,0
1.506,0.004
1.508,0.001
1.51,0
1.512,0.002
1.514,0
1.516,0
1.518,0.002
1.52,0
1.522,0.002
1.524,0.001
1.526,0
1.528,0.002
1.53,0.001
1.532,0
1.534,0.001
1.536,0.001
1.538,0.002
1.54,0.001
1.542,0.002
1.544,0.001
1.546,0
1.548,0
1.55,0.001
1.552,0
1.554,0.002
1.556,0.001
1.558,0
1.56,0.001
1.562,0
1.564,0
1.566,0
1.568,0.001
1.57,0.001
1.572,0
1.574,0
1.576,0
1.578,0
1.58,0
1.582,0.001
1.584,0.002
1.586,0.004
1.588,0.001
1.59,0.002
1.592,0
1.594,-0.002
1.596,0.001
1.598,0.002
1.6,0.001
1.602,0.002
1.604,0.001
1.606,0.002
1.608,0.002
1.61,0.002
1.612,0.002
1.614,0.001
1.616,0
1.618,0
1.62,-0.001
1.622,0
1.624,-0.001
1.626,0.001
1.628,0.002
1.63,0.001
1.632,0.001
1.634,0
1.636,0
1.638,0.001
1.64,0
1.642,-0.001
1.644,0
1.646,0.001
1.648,0.001
1.65,0.001
1.652,0
1.654,0
1.656,0
1.658,0
1.66,0.002
1.662,0.001
1.664,0
1.666,0
1.668,0
1.67,0.002
1.672,0.001
1.674,0.001
1.676,0.001
1.678,0
1.68,0
1.682,-0.001
1.684,-0.002
1.686,0
1.688,0
1.69,0.001
1.692,0.001
1.694,0
1.696,0.002
1.698,0.001
1.7,0
1.702,0
1.704,-0.004
1.706,0
1.708,0.001
1.71,0.001
1.712,0.002
1.714,-0.001
1.716,0.001
1.718,0
1.72,0
1.722,0
1.724,-0.001
1.726,0
1.728,0.001
1.73,0
1.732,0
1.734,0
1.736,0
1.738,0.001
1.74,0.001
1.742,0.001
1.744,0.001
1.746,0.001
1.748,0.001
1.75,0.001
1.752,-0.001
1.754,0
1.756,0.002
1.758,0
1.76,0.002
1.762,0
1.764,-0.001
1.766,-0.001
1.768,0
1.77,0.001
1.772,0
1.774,0
1.776,0.005
1.778,0.001
1.78,0
1.782,0
1.784,0
1.786,0
1.788,0
1.79,-0.001
1.792,0
1.794,-0.001
1.796,0.001
1.798,0.001
1.8,0.002
1.802,0.001
1.804,0
1.806,0.001
1.808,0
1.81,-0.002
1.812,0
1.814,-0.001
1.816,0.002
1.818,0.001
1.82,0.002
1.822,0.002
1.824,0.002
1.826,0
1.828,0.001
1.83,-0.001
1.832,0
1.834,0
1.836,0
1.838,0.002
1.84,0.002
1.842,0
1.844,0.001
1.846,-0.001
1.848,0.001
1.85,0.001
1.852,-0.001
1.854,0
1.856,0.001
1.858,0
1.86,0
1.862,0.001
1.864,0.002
1.866,0.002
1.868,0.001
1.87,0
1.872,0
1.874,-0.002
1.876,0
1.878,-0.001
1.88,0.002
1.882,0.002
1.884,0.002
1.886,0.002
1.888,0.001
1.89,0
1.892,0
1.894,-0.001
1.896,0.001
1.898,0
1.9,0
1.902,0
1.904,0.001
1.906,0.001
1.908,0.004
1.91,0
1.912,0
1.914,0.001
1.916,0
1.918,0
1.92,-0.001
1.922,0
1.924,0.001
1.926,0
1.928,0.001
1.93,0
1.932,0
1.934,0.001
1.936,0
1.938,-0.001
1.94,-0.001
1.942,-0.001
1.944,0.001
1.946,0.001
1.948,0.002
1.95,0.002
1.952,0
1.954,0
1.956,0.001
1.958,-0.001
1.96,0.001
1.962,-0.001
1.964,0.002
1.966,0
1.968,0.001
1.97,0.002
1.972,0
1.974,0
1.976,0.001
1.978,0
1.98,0.001
1.982,0.001
1.984,0
1.986,0.001
1.988,0
1.99,0
1.992,0.001
1.994,0
1.996,0.001
1.998,0
